"_language";"English"
"choice/destroy";"Clear";"crwdns73481:0crwdne73481:0"
"choice/destroy/animal";"Sell animal";"crwdns73482:0crwdne73482:0"
"choice/destroy/animal/disable";"Can't sell it now, work in progress.";"crwdns73483:0crwdne73483:0"
"choice/destroy/plan/disable";"Can't clear now, work in progress.";"crwdns73484:0crwdne73484:0"
"choice/destroy/plan/disable-animals";"First you need to sell individual animals.";"crwdns73485:0crwdne73485:0"
"commodity/C_EGG";"egg";"crwdns73486:0crwdne73486:0"
"commodity/C_EGG/pl";"eggs";"crwdns73487:0crwdne73487:0"
"commodity/C_FISH";"fish";"crwdns73488:0crwdne73488:0"
"commodity/C_FISH/pl";"fish";"crwdns73489:0crwdne73489:0"
"commodity/C_FRUIT";"fruit";"crwdns73490:0crwdne73490:0"
"commodity/C_FRUIT/pl";"baskets of fruit";"crwdns73491:0crwdne73491:0"
"commodity/C_GRAIN";"grain";"crwdns73492:0crwdne73492:0"
"commodity/C_GRAIN/pl";"bundles of grain";"crwdns73493:0crwdne73493:0"
"commodity/C_HERB";"herb";"crwdns73494:0crwdne73494:0"
"commodity/C_HERB/pl";"herbs";"crwdns73495:0crwdne73495:0"
"commodity/C_MANURE";"manure";"crwdns73496:0crwdne73496:0"
"commodity/C_MANURE/pl";"piles of manure";"crwdns73497:0crwdne73497:0"
"commodity/C_MEAT";"meat";"crwdns73498:0crwdne73498:0"
"commodity/C_MILK";"milk";"crwdns73499:0crwdne73499:0"
"commodity/C_MILK/pl";"buckets of milk";"crwdns73500:0crwdne73500:0"
"commodity/C_MONEY";"coins";"crwdns73501:0crwdne73501:0"
"commodity/C_PREMIUM_MONEY";"rubies";"crwdns73502:0crwdne73502:0"
"commodity/C_VEGETABLE";"vegetable";"crwdns73503:0crwdne73503:0"
"commodity/C_VEGETABLE/pl";"vegetables";"crwdns73504:0crwdne73504:0"
"commodity/C_WOOL";"wool";"crwdns73505:0crwdne73505:0"
"commodity/C_WOOL/pl";"wool";"crwdns73506:0crwdne73506:0"
"common/animal/cow";"Cow";"crwdns73507:0crwdne73507:0"
"common/animal/horse";"Horse";"crwdns73508:0crwdne73508:0"
"common/animal/sheep";"Sheep";"crwdns73509:0crwdne73509:0"
"common/back";"Back";"crwdns73510:0crwdne73510:0"
"common/buy";"Buy";"crwdns73511:0crwdne73511:0"
"common/continue";"Continue";"crwdns73512:0crwdne73512:0"
"common/cooking";"Cooking";"crwdns73513:0crwdne73513:0"
"common/day";"Day";"crwdns73514:0crwdne73514:0"
"common/exit";"Leave game";"crwdns73515:0crwdne73515:0"
"common/expandslots";"Expand slots?";"crwdns73516:0crwdne73516:0"
"common/ffwd";"Fast forward";"crwdns73517:0crwdne73517:0"
"common/happiness";"Happiness";"crwdns73518:0crwdne73518:0"
"common/happiness/next";"Next level";"crwdns73519:0crwdne73519:0"
"common/inventory";"Inventory";"crwdns73520:0crwdne73520:0"
"common/plan/enter";"Plan tiles";"crwdns73521:0crwdne73521:0"
"common/plan/exit";"Back to game";"crwdns73522:0crwdne73522:0"
"common/plant";"Plant";"crwdns73523:0crwdne73523:0"
"common/play";"Play";"crwdns73524:0crwdne73524:0"
"common/quests";"Quests";"crwdns73525:0crwdne73525:0"
"common/rank";"Level";"crwdns73526:0crwdne73526:0"
"common/rank/next";"Next level";"crwdns73527:0crwdne73527:0"
"common/rank/required";"Unlocked at level $NUM";"crwdns73528:0$NUMcrwdne73528:0"
"common/repair";"Repair";"crwdns73529:0crwdne73529:0"
"common/sell";"Sell";"crwdns73530:0crwdne73530:0"
"common/stats";"Stats";"crwdns73531:0crwdne73531:0"
"common/taptocontinue";"Tap to continue...";"crwdns73532:0crwdne73532:0"
"common/vp";"Value points";"crwdns73533:0crwdne73533:0"
"common/wait";"Please wait";"crwdns73534:0crwdne73534:0"
"common/workers/hungry";"Hungry ones";"crwdns73535:0crwdne73535:0"
"common/workers/idle";"Idle ones";"crwdns73536:0crwdne73536:0"
"content/apple_pie";"Apple pie";"crwdns73537:0crwdne73537:0"
"content/bouillon";"Beef broth";"crwdns73538:0crwdne73538:0"
"content/bread";"Bread";"crwdns73539:0crwdne73539:0"
"content/cake";"Cake";"crwdns73540:0crwdne73540:0"
"content/chicken_bouillon";"Chicken broth";"crwdns73541:0crwdne73541:0"
"content/cooked_corn";"Corn on the cob";"crwdns73542:0crwdne73542:0"
"content/cow_black";"Angus cow";"crwdns73543:0crwdne73543:0"
"content/cow_black-horn";"Black bull";"crwdns73544:0crwdne73544:0"
"content/cow_brown";"Brown cow";"crwdns73545:0crwdne73545:0"
"content/cow_brown-horn";"Watusi cow";"crwdns73546:0crwdne73546:0"
"content/cow_white";"White cow";"crwdns73547:0crwdne73547:0"
"content/cow_white-black";"Holstein cow";"crwdns73548:0crwdne73548:0"
"content/cow_white-brown";"Ayrshire cow";"crwdns73549:0crwdne73549:0"
"content/cow_white-horn";"Charolais cow";"crwdns73550:0crwdne73550:0"
"content/divine";"Manna";"crwdns73551:0crwdne73551:0"
"content/duck_basic";"Ducks";"crwdns73552:0crwdne73552:0"
"content/duck_cock";"Drake";"crwdns73553:0crwdne73553:0"
"content/easter_eggs";"Easter eggs";"crwdns73554:0crwdne73554:0"
"content/fish_chips";"Roasted fish";"crwdns73555:0crwdne73555:0"
"content/fish_soup";"Fish soup";"crwdns73556:0crwdne73556:0"
"content/fruits";"Fruits";"crwdns73557:0crwdne73557:0"
"content/goulash";"Goulash";"crwdns73558:0crwdne73558:0"
"content/gruel";"Gruel";"crwdns73559:0crwdne73559:0"
"content/ham_eggs";"Fried eggs";"crwdns73560:0crwdne73560:0"
"content/hen_black";"Black hens";"crwdns73561:0crwdne73561:0"
"content/hen_brown";"Brown hens";"crwdns73562:0crwdne73562:0"
"content/hen_cock";"Rooster";"crwdns73563:0crwdne73563:0"
"content/hen_white";"White hens";"crwdns73564:0crwdne73564:0"
"content/hen_yellow";"Light brown hens";"crwdns73565:0crwdne73565:0"
"content/horse_black";"Black stallion";"crwdns73566:0crwdne73566:0"
"content/horse_brown";"Brown horse";"crwdns73567:0crwdne73567:0"
"content/horse_pinto";"Pinto horse";"crwdns73568:0crwdne73568:0"
"content/horse_roan";"Roan horse";"crwdns73569:0crwdne73569:0"
"content/horse_white";"White horse";"crwdns73570:0crwdne73570:0"
"content/macaroni";"Spaghetti";"crwdns73571:0crwdne73571:0"
"content/pig_domestic";"Domestic pig";"crwdns73572:0crwdne73572:0"
"content/pig_white";"White pig";"crwdns73573:0crwdne73573:0"
"content/pig_wild";"Wild pig";"crwdns73574:0crwdne73574:0"
"content/pumpkin_pie";"Pumpkin pie";"crwdns73575:0crwdne73575:0"
"content/red_beet_salad";"Vegetable salad";"crwdns73576:0crwdne73576:0"
"content/roast_meat";"Roast meat";"crwdns73577:0crwdne73577:0"
"content/sandwich";"Sandwich";"crwdns73578:0crwdne73578:0"
"content/sauerkraut";"Sauerkraut";"crwdns73579:0crwdne73579:0"
"content/sheep_black";"Black sheep";"crwdns73580:0crwdne73580:0"
"content/sheep_black-horn";"Hebridean sheep";"crwdns73581:0crwdne73581:0"
"content/sheep_grey";"Merino sheep";"crwdns73582:0crwdne73582:0"
"content/sheep_grey-horn";"Ram";"crwdns73583:0crwdne73583:0"
"content/sheep_white";"Suffolk sheep";"crwdns73584:0crwdne73584:0"
"content/sheep_white-horn";"Blackhead ram";"crwdns73585:0crwdne73585:0"
"content/spinach";"Spinach a la Bohemia";"crwdns73586:0crwdne73586:0"
"content/strudel";"Strudel";"crwdns73587:0crwdne73587:0"
"content/turkey_basic";"Turkey hens";"crwdns73588:0crwdne73588:0"
"content/turkey_cock";"Gobbler";"crwdns73589:0crwdne73589:0"
"content/walnut_basic";"Walnut tree";"crwdns73590:0crwdne73590:0"
"dialog/animal/sell";"Sell animal for $VAL?";"crwdns73591:0$VALcrwdne73591:0"
"dialog/buy-pc";"Urge sun to rise for a few rubies? It loves glowing gems...";"crwdns73592:0crwdne73592:0"
"dialog/close";"Close";"crwdns73593:0crwdne73593:0"
"dialog/continue";"Continue";"crwdns73594:0crwdne73594:0"
"dialog/destroy/norefund_query";"Are you sure you want to destroy this?";"crwdns73595:0crwdne73595:0"
"dialog/earnpc";"Earn for free!";"crwdns73596:0crwdne73596:0"
"dialog/go_buy_money";"No cash left. Would you like to buy some for rubies?";"crwdns73597:0crwdne73597:0"
"dialog/go_buy_pc";"You don't have enough rubies. Would you like to buy some?";"crwdns73598:0crwdne73598:0"
"dialog/go_inventory";"Not enough resources. Would you like to go to inventory to buy some?";"crwdns73599:0crwdne73599:0"
"dialog/go_sell_stuff";"Not enough cash. You can sell your resources to get cash. Go to inventory?";"crwdns73600:0crwdne73600:0"
"dialog/hide";"Hide";"crwdns73601:0crwdne73601:0"
"dialog/maxgraves";"Animals sense their dead comrades. Destroy this cursed corral.";"crwdns73602:0crwdne73602:0"
"dialog/next";"Next";"crwdns73603:0crwdne73603:0"
"dialog/no";"No";"crwdns73604:0crwdne73604:0"
"dialog/ok";"OK";"crwdns73605:0crwdne73605:0"
"dialog/prev";"Previous";"crwdns73606:0crwdne73606:0"
"dialog/purchase";"Thank you for your purchase!";"crwdns73607:0crwdne73607:0"
"dialog/purchase-already";"This item has been already purchased.";"crwdns73608:0crwdne73608:0"
"dialog/purchase-failed";"The purchase failed! Reason:|";"crwdns73609:0crwdne73609:0"
"dialog/purchase-slot-restore";"Purchase was successfully restored.";"crwdns73610:0crwdne73610:0"
"dialog/review/msg";"Please rate this app to keep updates coming. Should we go to the review?";"crwdns73611:0crwdne73611:0"
"dialog/review/title";"Rate this app!";"crwdns73612:0crwdne73612:0"
"dialog/unsaved";"Are you sure you want to exit? You will lose your progress since the start of the day.";"crwdns73613:0crwdne73613:0"
"dialog/yes";"Yes";"crwdns73614:0crwdne73614:0"
"job/W_BUILD_COOP";"Building a coop";"crwdns73615:0crwdne73615:0"
