"_language";"English"
"choice/destroy";"Clear";"Clear"
"choice/destroy/animal";"Sell animal";"Sell animal"
"choice/destroy/animal/disable";"Can't sell it now, work in progress.";"Can't sell it now, work in progress."
"choice/destroy/plan/disable";"Can't clear now, work in progress.";"Can't clear now, work in progress."
"choice/destroy/plan/disable-animals";"First you need to sell individual animals.";"First you need to sell individual animals."
"commodity/C_EGG";"egg";"egg"
"commodity/C_EGG/pl";"eggs";"eggs"
"commodity/C_FISH";"fish";"fish"
"commodity/C_FISH/pl";"fish";"fish"
"commodity/C_FRUIT";"fruit";"fruit"
"commodity/C_FRUIT/pl";"baskets of fruit";"baskets of fruit"
"commodity/C_GRAIN";"grain";"grain"
"commodity/C_GRAIN/pl";"bundles of grain";"bundles of grain"
"commodity/C_HERB";"herb";"herb"
"commodity/C_HERB/pl";"herbs";"herbs"
"commodity/C_MANURE";"manure";"manure"
"commodity/C_MANURE/pl";"piles of manure";"piles of manure"
"commodity/C_MEAT";"meat";"meat"
"commodity/C_MILK";"milk";"milk"
"commodity/C_MILK/pl";"buckets of milk";"buckets of milk"
"commodity/C_MONEY";"coins";"coins"
"commodity/C_PREMIUM_MONEY";"rubies";"rubies"
"commodity/C_VEGETABLE";"vegetable";"vegetable"
"commodity/C_VEGETABLE/pl";"vegetables";"vegetables"
"commodity/C_WOOL";"wool";"wool"
"commodity/C_WOOL/pl";"wool";"wool"
"common/animal/cow";"Cow";"Cow"
"common/animal/horse";"Horse";"Horse"
"common/animal/sheep";"Sheep";"Sheep"
"common/back";"Back";"Back"
"common/buy";"Buy";"Buy"
"common/continue";"Continue";"Continue"
"common/cooking";"Cooking";"Cooking"
"common/day";"Day";"Day"
"common/exit";"Leave game";"Leave game"
"common/expandslots";"Expand slots?";"Expand slots?"
"common/ffwd";"Fast forward";"Fast forward"
"common/happiness";"Happiness";"Happiness"
"common/happiness/next";"Next level";"Next level"
"common/inventory";"Inventory";"Inventory"
"common/plan/enter";"Plan tiles";"Plan tiles"
"common/plan/exit";"Back to game";"Back to game"
"common/plant";"Plant";"Plant"
"common/play";"Play";"Play"
"common/quests";"Quests";"Quests"
"common/rank";"Level";"Level"
"common/rank/next";"Next level";"Next level"
"common/rank/required";"Unlocked at level $NUM";"Unlocked at level $NUM"
"common/repair";"Repair";"Repair"
"common/sell";"Sell";"Sell"
"common/stats";"Stats";"Stats"
"common/taptocontinue";"Tap to continue...";"Tap to continue..."
