"_language";"English";"English"
"choice/destroy";"Clear";"Clear"
"choice/destroy/animal";"Sell animal";"Sell animal"
"choice/destroy/animal/disable";"Can't sell it now, work in progress.";"Can't sell it now, work in progress."
"choice/destroy/plan/disable";"Can't clear now, work in progress.";"Can't clear now, work in progress."
"choice/destroy/plan/disable-animals";"First you need to sell individual animals.";"First you need to sell individual animals."
"commodity/C_EGG";"egg";"egg"
"commodity/C_EGG/pl";"eggs";"eggs"
"commodity/C_FISH";"fish";"fish"
"commodity/C_FISH/pl";"fish";"fish"
"commodity/C_FRUIT";"fruit";"fruit"
"commodity/C_FRUIT/pl";"baskets of fruit";"baskets of fruit"
"commodity/C_GRAIN";"grain";"grain"
"commodity/C_GRAIN/pl";"bundles of grain";"bundles of grain"
"commodity/C_HERB";"herb";"herb"
"commodity/C_HERB/pl";"herbs";"herbs"
"commodity/C_MANURE";"manure";"manure"
"commodity/C_MANURE/pl";"piles of manure";"piles of manure"
"commodity/C_MEAT";"meat";"meat"
"commodity/C_MILK";"milk";"milk"
"commodity/C_MILK/pl";"buckets of milk";"buckets of milk"
"commodity/C_MONEY";"coins";"coins"
"commodity/C_PREMIUM_MONEY";"rubies";"rubies"
"commodity/C_VEGETABLE";"vegetable";"vegetable"
"commodity/C_VEGETABLE/pl";"vegetables";"vegetables"
"commodity/C_WOOL";"wool";"wool"
"commodity/C_WOOL/pl";"wool";"wool"
"common/animal/cow";"Cow";"Cow"
"common/animal/horse";"Horse";"Horse"
"common/animal/sheep";"Sheep";"Sheep"
"common/back";"Back";"Back"
"common/buy";"Buy";"Buy"
"common/continue";"Continue";"Continue"
"common/cooking";"Cooking";"Cooking"
"common/day";"Day";"Day"
"common/exit";"Leave game";"Leave game"
"common/expandslots";"Expand slots?";"Expand slots?"
"common/ffwd";"Fast forward";"Fast forward"
"common/happiness";"Happiness";"Happiness"
"common/happiness/next";"Next level";"Next level"
"common/inventory";"Inventory";"Inventory"
"common/plan/enter";"Plan tiles";"Plan tiles"
"common/plan/exit";"Back to game";"Back to game"
"common/plant";"Plant";"Plant"
"common/play";"Play";"Play"
"common/quests";"Quests";"Quests"
"common/rank";"Level";"Level"
"common/rank/next";"Next level";"Next level"
"common/rank/required";"Unlocked at level $NUM";"Unlocked at level $NUM"
"common/repair";"Repair";"Repair"
"common/sell";"Sell";"Sell"
"common/stats";"Stats";"Stats"
"common/taptocontinue";"Tap to continue...";"Tap to continue..."
"common/vp";"Value points";"Value points"
"common/wait";"Please wait";"Please wait"
"common/workers/hungry";"Hungry ones";"Hungry ones"
"common/workers/idle";"Idle ones";"Idle ones"
"content/apple_pie";"Apple pie";"Apple pie"
"content/bouillon";"Beef broth";"Beef broth"
"content/bread";"Bread";"Bread"
"content/cake";"Cake";"Cake"
"content/chicken_bouillon";"Chicken broth";"Chicken broth"
"content/cooked_corn";"Corn on the cob";"Corn on the cob"
"content/cow_black";"Angus cow";"Angus cow"
"content/cow_black-horn";"Black bull";"Black bull"
"content/cow_brown";"Brown cow";"Brown cow"
"content/cow_brown-horn";"Watusi cow";"Watusi cow"
"content/cow_white";"White cow";"White cow"
"content/cow_white-black";"Holstein cow";"Holstein cow"
"content/cow_white-brown";"Ayrshire cow";"Ayrshire cow"
"content/cow_white-horn";"Charolais cow";"Charolais cow"
"content/divine";"Manna";"Manna"
"content/duck_basic";"Ducks";"Ducks"
"content/duck_cock";"Drake";"Drake"
"content/easter_eggs";"Easter eggs";"Easter eggs"
"content/fish_chips";"Roasted fish";"Roasted fish"
"content/fish_soup";"Fish soup";"Fish soup"
"content/fruits";"Fruits";"Fruits"
"content/goulash";"Goulash";"Goulash"
"content/gruel";"Gruel";"Gruel"
"content/ham_eggs";"Fried eggs";"Fried eggs"
"content/hen_black";"Black hens";"Black hens"
"content/hen_brown";"Brown hens";"Brown hens"
"content/hen_cock";"Rooster";"Rooster"
"content/hen_white";"White hens";"White hens"
"content/hen_yellow";"Light brown hens";"Light brown hens"
"content/horse_black";"Black stallion";"Black stallion"
"content/horse_brown";"Brown horse";"Brown horse"
"content/horse_pinto";"Pinto horse";"Pinto horse"
"content/horse_roan";"Roan horse";"Roan horse"
"content/horse_white";"White horse";"White horse"
"content/macaroni";"Spaghetti";"Spaghetti"
"content/pig_domestic";"Domestic pig";"Domestic pig"
"content/pig_white";"White pig";"White pig"
"content/pig_wild";"Wild pig";"Wild pig"
"content/pumpkin_pie";"Pumpkin pie";"Pumpkin pie"
"content/red_beet_salad";"Vegetable salad";"Vegetable salad"
"content/roast_meat";"Roast meat";"Roast meat"
"content/sandwich";"Sandwich";"Sandwich"
"content/sauerkraut";"Sauerkraut";"Sauerkraut"
"content/sheep_black";"Black sheep";"Black sheep"
"content/sheep_black-horn";"Hebridean sheep";"Hebridean sheep"
"content/sheep_grey";"Merino sheep";"Merino sheep"
"content/sheep_grey-horn";"Ram";"Ram"
"content/sheep_white";"Suffolk sheep";"Suffolk sheep"
"content/sheep_white-horn";"Blackhead ram";"Blackhead ram"
"content/spinach";"Spinach a la Bohemia";"Spinach a la Bohemia"
"content/strudel";"Strudel";"Strudel"
"content/turkey_basic";"Turkey hens";"Turkey hens"
"content/turkey_cock";"Gobbler";"Gobbler"
"content/walnut_basic";"Walnut tree";"Walnut tree"
"dialog/animal/sell";"Sell animal for $VAL?";"Sell animal for $VAL?"
"dialog/buy-pc";"Urge sun to rise for a few rubies? It loves glowing gems...";"Urge sun to rise for a few rubies? It loves glowing gems..."
"dialog/close";"Close";"Close"
"dialog/continue";"Continue";"Continue"
"dialog/destroy/norefund_query";"Are you sure you want to destroy this?";"Are you sure you want to destroy this?"
"dialog/earnpc";"Earn for free!";"Earn for free!"
"dialog/go_buy_money";"No cash left. Would you like to buy some for rubies?";"No cash left. Would you like to buy some for rubies?"
"dialog/go_buy_pc";"You don't have enough rubies. Would you like to buy some?";"You don't have enough rubies. Would you like to buy some?"
"dialog/go_inventory";"Not enough resources. Would you like to go to inventory to buy some?";"Not enough resources. Would you like to go to inventory to buy some?"
"dialog/go_sell_stuff";"Not enough cash. You can sell your resources to get cash. Go to inventory?";"Not enough cash. You can sell your resources to get cash. Go to inventory?"
"dialog/hide";"Hide";"Hide"
"dialog/maxgraves";"Animals sense their dead comrades. Destroy this cursed corral.";"Animals sense their dead comrades. Destroy this cursed corral."
"dialog/next";"Next";"Next"
"dialog/no";"No";"No"
"dialog/ok";"OK";"OK"
"dialog/prev";"Previous";"Previous"
"dialog/purchase";"Thank you for your purchase!";"Thank you for your purchase!"
"dialog/purchase-already";"This item has been already purchased.";"This item has been already purchased."
"dialog/purchase-failed";"The purchase failed! Reason:|";"The purchase failed! Reason:|"
"dialog/purchase-slot-restore";"Purchase was successfully restored.";"Purchase was successfully restored."
"dialog/review/msg";"Please rate this app to keep updates coming. Should we go to the review?";"Please rate this app to keep updates coming. Should we go to the review?"
"dialog/review/title";"Rate this app!";"Rate this app!"
"dialog/unsaved";"Are you sure you want to exit? You will lose your progress since the start of the day.";"Are you sure you want to exit? You will lose your progress since the start of the day."
"dialog/yes";"Yes";"Yes"
"job/W_BUILD_COOP";"Building a coop";"Building a coop"
